,training,training,training,training,training,training,testing,testing,testing,testing,testing,testing,training
,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
epoch,,,,,,,,,,,,,
0,0.6754176610978521,0.7810762188568718,0.781076218856872,0.855538104223214,0.6754176610978521,0.4946972264608245,0.2714285714285714,0.5073118134645191,0.5073118134645191,0.704814233385662,0.2714285714285714,0.04074994931569192,0.8537106
1,0.8361177406523469,0.8627674175280537,0.8627674175280537,0.8783495650890045,0.8361177406523469,0.6518027412433354,0.675,0.7264977424354742,0.7264977424354742,0.7917610736885079,0.675,0.3941962380357954,0.67252505
2,0.8345266507557677,0.8627389810889317,0.8627389810889317,0.8783888487376091,0.8345266507557677,0.6506633268727312,0.6607142857142857,0.7076285463980052,0.7076285463980052,0.7775730469775173,0.6607142857142857,0.3613563253163599,0.6091437
3,0.726332537788385,0.8073949796303096,0.8073949796303095,0.8573261585786935,0.726332537788385,0.5349757736292814,0.4,0.5748365792843183,0.5748365792843184,0.746331021491566,0.4,0.16871100477502393,0.58598185
4,0.8786793953858393,0.8746768491421814,0.8746768491421812,0.8913620710274937,0.8786793953858393,0.7065712821250465,0.7321428571428571,0.7322258912325629,0.7322258912325628,0.7860641995816414,0.7321428571428571,0.41511349308591755,0.5642818
5,0.6937151949085123,0.7933298150209636,0.7933298150209636,0.8592700071130248,0.6937151949085123,0.5137140061419566,0.3,0.5218006604218614,0.5218006604218614,0.7251397897562066,0.3,0.07943275549180527,0.5342646
6,0.809466984884646,0.8573649122777671,0.8573649122777671,0.8773583810715664,0.809466984884646,0.6296804881200678,0.6214285714285714,0.7045623020419165,0.7045623020419165,0.7897860001633586,0.6214285714285714,0.3593078190213272,0.5209304
7,0.7911694510739857,0.8461484097757788,0.8461484097757788,0.8717780978052964,0.7911694510739857,0.6065011775194435,0.5678571428571428,0.6826268616483591,0.6826268616483591,0.7932103174603173,0.5678571428571428,0.3316352732435817,0.5135216
8,0.8985680190930787,0.8817734134348794,0.8817734134348794,0.9027644244275026,0.8985680190930787,0.7415695620211182,0.7964285714285714,0.7799380012130197,0.7799380012130197,0.8210411986256112,0.7964285714285714,0.5185866495569706,0.49556813
9,0.8949880668257757,0.8669308467618841,0.8669308467618841,0.8963161731968925,0.8949880668257757,0.7257740015448433,0.7928571428571428,0.731046566480221,0.731046566480221,0.7948263800259034,0.7928571428571428,0.4579153787809834,0.5003628
10,0.741447891805887,0.8201102497472084,0.8201102497472085,0.8642571330925864,0.741447891805887,0.5569270980376982,0.4357142857142857,0.6127097513309523,0.6127097513309523,0.7970476190476191,0.4357142857142857,0.24684321878251947,0.48558727
11,0.8778838504375497,0.878811005571033,0.878811005571033,0.89314536620477,0.8778838504375497,0.7093740084619543,0.7678571428571429,0.7747489723027158,0.7747489723027158,0.8160435449391208,0.7678571428571429,0.4928795881933424,0.45616403
12,0.8428798727128083,0.8740370292619322,0.8740370292619323,0.8863948504328162,0.8428798727128083,0.6707913570190218,0.6964285714285714,0.7501516274681582,0.7501516274681582,0.808327497665733,0.6964285714285714,0.43549677731041125,0.46668905
13,0.8086714399363564,0.8604619750445155,0.8604619750445156,0.8803047656895439,0.8086714399363564,0.6338812699978649,0.6,0.708807871150347,0.708807871150347,0.8082869645075902,0.6,0.37390755322206637,0.4599486
14,0.9077167859984089,0.8718252597543259,0.8718252597543259,0.9067399417036927,0.9077167859984089,0.7532678684227109,0.825,0.7804771210998045,0.7804771210998046,0.8294182146542828,0.825,0.5487921294498264,0.46228334
15,0.8202068416865553,0.868705615109451,0.8687056151094511,0.8850072946513267,0.8202068416865553,0.6506136970294181,0.6321428571428571,0.7210391535817777,0.7210391535817778,0.8043154761904763,0.6321428571428571,0.38864305167365953,0.4526398
16,0.9081145584725537,0.862239252489652,0.862239252489652,0.906346141266939,0.9081145584725537,0.7507071390910233,0.8392857142857143,0.7667969539726396,0.7667969539726396,0.8339349131188432,0.8392857142857143,0.5590994801465233,0.43433398
17,0.8420843277645187,0.879208279352887,0.879208279352887,0.890384886440279,0.8420843277645187,0.6768720518934105,0.6785714285714286,0.742839814003639,0.742839814003639,0.807333177771134,0.6785714285714286,0.4226918773847044,0.44016746
18,0.7975338106603023,0.8566330921532992,0.8566330921532992,0.8798293480394909,0.7975338106603023,0.6244070590928343,0.5714285714285714,0.6896691151694858,0.6896691151694858,0.8011926685959836,0.5714285714285714,0.3452010010930571,0.43537325
19,0.8937947494033412,0.8972445090490604,0.8972445090490604,0.9069570875152212,0.8937947494033412,0.7464701239815824,0.7785714285714286,0.791225823842577,0.791225823842577,0.8277884964152589,0.7785714285714286,0.5214915253345683,0.4533326
20,0.7474144789180589,0.8246245344578551,0.8246245344578551,0.8664355399651367,0.7474144789180589,0.5647926579489267,0.4392857142857143,0.6058022777815216,0.6058022777815216,0.7738906926406927,0.4392857142857143,0.22435738273336664,0.42231628
21,0.8607796340493238,0.8891355238870271,0.889135523887027,0.8969590224406546,0.8607796340493238,0.7029017551925338,0.7107142857142857,0.7783206415526653,0.7783206415526653,0.8321683673469388,0.7107142857142857,0.48433928266995485,0.42522213
22,0.9164677804295943,0.8916864397494582,0.8916864397494582,0.9168335804445397,0.9164677804295943,0.7801639466547707,0.7928571428571428,0.7496462025742975,0.7496462025742975,0.8035410739765849,0.7928571428571428,0.4790581463626031,0.42867213
23,0.7836117740652346,0.848865344260732,0.8488653442607321,0.8768905110655497,0.7836117740652346,0.6088819142314725,0.5535714285714286,0.6823573017049667,0.6823573017049667,0.8043436963129378,0.5535714285714286,0.33781788004361163,0.40703484
24,0.8834526650755767,0.8965411253637146,0.8965411253637147,0.9039406375427215,0.8834526650755767,0.733069961400649,0.7321428571428571,0.7554754363501583,0.7554754363501583,0.8044102920515349,0.7321428571428571,0.45017663623187965,0.4223389
25,0.9120922832140016,0.883052216829521,0.883052216829521,0.9119582142138397,0.9120922832140016,0.7673019018185142,0.8214285714285714,0.7780847766021969,0.7780847766021969,0.826898470987141,0.8214285714285714,0.5418962506350247,0.42108548
26,0.9013524264120922,0.899713042874623,0.8997130428746228,0.9107755190065024,0.9013524264120922,0.7591070097998861,0.7785714285714286,0.7679762787249815,0.7679762787249815,0.8115587049421762,0.7785714285714286,0.4900238893853069,0.40240687
27,0.8882259347653142,0.9028489966537002,0.9028489966537003,0.9084312304128983,0.8882259347653142,0.744731074630276,0.7535714285714286,0.7884291394298807,0.7884291394298807,0.8286755952380952,0.7535714285714286,0.5071317869400191,0.40866545
28,0.8599840891010342,0.8932696803158786,0.8932696803158787,0.8999107709943643,0.8599840891010342,0.7072113761617708,0.7071428571428572,0.7712783880315386,0.7712783880315386,0.8261241462756846,0.7071428571428572,0.4720962522359881,0.40290755
29,0.8241845664280032,0.8708508935314628,0.8708508935314628,0.8860728043016726,0.8241845664280032,0.6555063694096109,0.6285714285714286,0.7279466271312083,0.7279466271312083,0.8154037267080746,0.6285714285714286,0.40315735869195074,0.3904513
30,0.8647573587907716,0.8954291769574516,0.8954291769574516,0.9014050772741901,0.8647573587907716,0.7136160654271486,0.7,0.7664936990363231,0.7664936990363231,0.8239348946374815,0.7,0.46376962600104704,0.38163552
31,0.9116945107398569,0.9014535202220719,0.9014535202220719,0.9162734046503961,0.9116945107398569,0.7767447658740628,0.8178571428571428,0.8082417952692229,0.8082417952692229,0.8412209263909078,0.8178571428571428,0.5710195799406798,0.38201064
32,0.8671439936356404,0.8933976442919285,0.8933976442919284,0.9000629230771899,0.8671439936356404,0.7132995626915606,0.7214285714285714,0.7808477660219691,0.7808477660219693,0.8306057288815909,0.7214285714285714,0.4890490294802425,0.3975423
33,0.8647573587907716,0.8954291769574516,0.8954291769574516,0.9014050772741901,0.8647573587907716,0.7136160654271486,0.725,0.7832401105195768,0.7832401105195769,0.8317496421999592,0.725,0.4933535313681964,0.3986479
34,0.8241845664280032,0.8734436276867208,0.8734436276867208,0.8883100378076441,0.8241845664280032,0.6591554666452402,0.6535714285714286,0.7586427656850192,0.7586427656850192,0.8402446533701791,0.6535714285714286,0.45685852156398654,0.38280833
35,0.8464598249801114,0.880582846638102,0.880582846638102,0.8911037976567732,0.8464598249801114,0.6815638665868637,0.6678571428571428,0.735662780510816,0.7356627805108161,0.803976326780968,0.6678571428571428,0.41048234575174464,0.37397015
36,0.845266507557677,0.8854877142037505,0.8854877142037505,0.8949918904636189,0.845266507557677,0.6870670554501204,0.6785714285714286,0.7521396320506772,0.7521396320506774,0.8175413022351797,0.6785714285714286,0.43932805726376944,0.37433067
37,0.9124900556881463,0.9050975662589941,0.9050975662589941,0.9179077552589264,0.9124900556881463,0.7804729681855699,0.8,0.810229799851742,0.810229799851742,0.84107289781142,0.8,0.5597712383737787,0.36593792
38,0.8770883054892601,0.9031684884108966,0.9031684884108966,0.907127170372069,0.8770883054892601,0.7333822807114487,0.725,0.7739402924725385,0.7739402924725386,0.822576923076923,0.725,0.47793729637026316,0.36980534
39,0.841686555290374,0.8841273651380965,0.8841273651380965,0.8943284218424501,0.841686555290374,0.68307238138228,0.6571428571428571,0.7377855650650313,0.7377855650650313,0.8113559334494953,0.6571428571428571,0.41559491405518484,0.35735083
40,0.9128878281622912,0.9115865107569194,0.9115865107569194,0.920462183156753,0.9128878281622912,0.7855978991423292,0.7857142857142857,0.8006604218613114,0.8006604218613114,0.8344729388703241,0.7857142857142857,0.5383858475714859,0.36900347
41,0.8846459824980112,0.8823024148391376,0.8823024148391375,0.8969169042698117,0.8846459824980112,0.7212121040434318,0.7714285714285715,0.800390861917919,0.800390861917919,0.8356935817805383,0.7714285714285715,0.5312857136346993,0.35633218
42,0.8882259347653142,0.9059602776400097,0.9059602776400096,0.9102057972755864,0.8882259347653142,0.747800808060435,0.7464285714285714,0.7836444504346654,0.7836444504346654,0.8259719710669078,0.7464285714285714,0.49773495921037214,0.40008372
43,0.8898170246618934,0.9090999950654415,0.9090999950654414,0.9123042133501305,0.8898170246618934,0.7527069009454214,0.7392857142857143,0.7835096704629692,0.7835096704629692,0.8275793650793651,0.7392857142857143,0.49585484066744756,0.37190062
44,0.8651551312649165,0.8967326531448611,0.8967326531448612,0.9023262100485103,0.8651551312649165,0.7154825602467821,0.7071428571428572,0.7666284790080194,0.7666284790080193,0.8212761690863881,0.7071428571428572,0.46409890741572996,0.38478228
45,0.8285600636435959,0.8758552886340389,0.8758552886340389,0.8895302225685738,0.8285600636435959,0.6646431960333318,0.6142857142857143,0.7090774310937396,0.7090774310937396,0.7993487671748541,0.6142857142857143,0.3697843918231418,0.3672341
46,0.9025457438345267,0.9072532992542126,0.9072532992542125,0.9145397662570347,0.9025457438345267,0.7669034875723453,0.7571428571428571,0.7675719388098928,0.7675719388098928,0.8112276103101791,0.7571428571428571,0.4774870246331246,0.37096518
47,0.8778838504375497,0.9026641597994061,0.902664159799406,0.9068619914692087,0.8778838504375497,0.733592511171643,0.7071428571428572,0.7573286609609812,0.7573286609609812,0.8119507953557363,0.7071428571428572,0.44836942046283673,0.3770908
48,0.9029435163086714,0.9152978842452928,0.9152978842452927,0.9185583876297264,0.9029435163086714,0.7743237768585953,0.7571428571428571,0.7908214839274883,0.7908214839274883,0.8300485411555927,0.7571428571428571,0.5118849729799928,0.3741814
49,0.8774860779634049,0.9023977772740996,0.9023977772740996,0.9066569632879485,0.8774860779634049,0.7329177569163423,0.7178571428571429,0.7645056944538042,0.7645056944538041,0.8156501831501832,0.7178571428571429,0.46147697128002035,0.3733807
50,0.9180588703261734,0.9207534987274693,0.9207534987274694,0.9263298586610805,0.9180588703261734,0.8002880286537624,0.7928571428571428,0.8007952018330076,0.8007952018330076,0.8343939287085577,0.7928571428571428,0.5427476751344328,0.37990668
